"","SAMPLEID","AGE","MALE","BLACK","EDUC","LIFESAT","AGE_DIFF"
"316","SM06A85RU1",31,0,0,"1.>HS",1,-1
"317","SM10A55DO1",61,1,1,"2.HS",5.2,-21
"318","SM11J73AN1",44,0,0,"3.>HS",2.2,-4
"319","SM17G51GY1",64,1,1,"1.>HS",3.4,-19
"320","SM19H49OI1",69,1,1,"3.>HS",5.6,0
"321","SM23K58RU1",58,1,1,"2.HS",2.8,-23
"322","SM23L57GE0",60,0,0,"1.>HS",1,-5
"323","SM28B76DE1",40,1,0,"2.HS",2.2,10
"324","SM29C59RA1",56,0,1,"1.>HS",5,0
"325","SM29J59SM1",57,1,1,"2.HS",3.6,-22
"326","SO06T79GI0",38,0,0,"3.>HS",3.6,-3
"327","SP07M51CH1",66,0,1,"1.>HS",5.8,-11
"328","SP16A89RA1",28,0,0,"3.>HS",4.2,2
"329","SP29L52CH1",65,1,1,"2.HS",5.4,-10
"330","ST01C94CU1",23,0,0,"2.HS",6,0
"331","ST05J85JO0",31,1,1,"3.>HS",2.4,19
"332","ST07A65HU1",51,0,1,"2.HS",6,49
"333","ST09D55TO1",61,1,1,"2.HS",3.4,0
"334","ST09R56SM1",60,1,1,"2.HS",3.6,-10
"335","ST14W57JE1",60,1,1,"2.HS",3,0
"336","ST16J79WI1",38,0,0,"3.>HS",4,-8
"337","ST18M55SM1",62,1,1,"1.>HS",5.4,-22
"338","ST22W79IN1",37,1,0,"1.>HS",4.4,18
"339","ST23D73ST1",43,1,1,"3.>HS",2.2,0
"340","ST25N89HA1",28,1,0,"3.>HS",4.4,0
"341","ST27L52TO0",64,1,1,"2.HS",4.6,-19
"342","ST28B82PU0",35,1,0,"2.HS",4,0
"343","ST31A68CI1",47,1,1,"1.>HS",5.8,-12
"344","TA03M65SC1",51,0,1,"2.HS",4,9
"345","TA10B84TA1",33,1,0,"1.>HS",3.4,0
"346","TA14H56TA0",61,1,1,"3.>HS",4.4,0
"347","TA17A50BE1",66,1,0,"3.>HS",4,-41
"348","TA20A67HA1",50,1,1,"2.HS",3,5
"349","TA20R49DA1",67,1,1,"3.>HS",5.8,0
"350","TA25L64WE1",52,0,1,"3.>HS",1.8,1
"351","TA29C73GH1",44,1,0,"1.>HS",7,6
"352","TE12L54SM1",62,1,1,"2.HS",5.4,0
"353","TH01C90GE1",26,0,0,"3.>HS",3.4,7
"354","TH03T53SA0",64,1,1,"1.>HS",5.4,-9
"355","TH05C67PR1",49,1,1,"1.>HS",3.2,-9
"356","TH12R560W1",61,1,1,"1.>HS",2.8,-1
"357","TH14R59JO1",58,0,1,"3.>HS",6.4,-57
"358","TH22O51DA1",66,1,1,"3.>HS",6.2,-6
"359","TO05M84DO0",33,1,0,"3.>HS",4,0
"360","TR13E46LY1",71,1,1,"2.HS",6.2,-66
"361","TR28C50CO1",63,1,1,"2.HS",3.8,-1
"362","TU01V53OR1",63,1,0,"3.>HS",4.6,-18
"363","TU06V55BA1",62,0,1,"2.HS",2.6,18
"364","TU12C58TH1",59,1,1,"1.>HS",5.8,0
"365","UM23B74CO1",43,0,0,"3.>HS",2.8,-13
"366","VA09D84WI0",32,1,0,"1.>HS",3,8
"367","VA22R53DA1",63,1,1,"1.>HS",5,0
"368","VA29S91MO1",25,1,0,"1.>HS",5.4,0
"369","VE18A92SN1",25,1,0,"3.>HS",4.6,9
"370","VU25H68LI1",49,0,0,"3.>HS",5.2,-10
"371","VW01V53CA1",63,0,1,"1.>HS",5.8,-23
"372","WA04D72CO1",44,1,0,"3.>HS",6,-9
"373","WA10L69JO0",48,0,1,"1.>HS",6.6,-18
"374","WA14G67SA0",50,0,1,"1.>HS",1,0
"375","WA17K57SP1",60,1,1,"1.>HS",1,-20
"376","WA18K57JO1",60,1,1,"1.>HS",5,-5
"377","WA18S69RE0",47,1,0,"2.HS",4.6,13
"378","WA19B66WA1",50,1,1,"1.>HS",1,-20
"379","WA26D88KE1",29,1,0,"2.HS",4.6,36
"380","WA28R55WA1",61,1,1,"2.HS",1.6,-16
"381","WA29G56WA1",61,0,1,"2.HS",3.4,0
"382","WE06A69JO1",57,1,1,"3.>HS",4.8,-7
"383","WE28V90WE1",26,0,0,"3.>HS",3.8,-6
"384","WE30L54VI1",62,0,0,"2.HS",4.4,-17
"385","WH18A51MA1",65,1,1,"2.HS",5.6,-25
"386","WH20N54OL1",63,1,1,"2.HS",5.2,-18
"387","WH27V67AR1",60,0,1,"3.>HS",3.8,-30
"388","WH29K50JO1",66,1,1,"2.HS",4.4,-6
"389","WI01M67WI1",49,1,1,"1.>HS",3.8,0
"390","WI02K56HO1",60,1,1,"1.>HS",6,-10
"391","WI07D50LE0",66,1,1,"1.>HS",5.8,-26
"392","WI07S79CA0",38,0,0,"3.>HS",3.2,-8
"393","WI09W65MU0",52,1,0,"2.HS",3.2,-2
"394","WI14J64RO1",53,1,1,"2.HS",6.2,7
"395","WI17N54DO1",62,1,1,"2.HS",3.8,-57
"396","WI17S73WI1",43,0,0,"3.>HS",2,-10
"397","WI24H52AB1",65,1,0,"1.>HS",6.8,-25
"398","WI27T74WI1",42,0,0,"3.>HS",4.8,18
"399","WI29A47RE1",69,1,1,"1.>HS",2.2,-34
"400","WI29R54NO0",63,1,1,"2.HS",3,0
"401","WO31S79GR1",38,0,0,"1.>HS",2.6,7
"402","WR07W49RJ0",68,0,1,"2.HS",3.8,0
"403","WY14N86BA1",30,0,0,"2.HS",1.8,20
"404","YA15J84JE1",32,1,0,"2.HS",5.8,18
"405","YA22A56GU1",61,1,1,"3.>HS",4.2,-16
"406","ZE01C80CH1",37,1,0,"1.>HS",4.8,3
"407","ZI16J59LE1",57,1,0,"3.>HS",4,-17
"408","ZU14A84RA1",33,0,0,"1.>HS",6.6,17
